ccbaCpno_item,ccbaMnm1_item
1123703150000,"백지묵서 묘법연화경 권1, 3"
1123703160000,청도 운문사 원응국사비
1123703170000,청도 운문사 석조여래좌상
1123703180000,청도 운문사 석조사천왕상
1123703190000,김천 직지사 석조약사여래좌상
1123603200000,해남 대흥사 삼층석탑
1121103210000,봉은사 청동 은입사 향완
1123903220000,제주 관덕정
1123703230000,청도 석빙고
1122203250000,칠곡 송림사 오층전탑 사리장엄구
1123403260000,이순신 유물 일괄
1123703270000,의성 빙산사지 오층석탑
1121103280000,금동약사여래입상
1123403290000,부여 군수리 석조여래좌상
1123403300000,부여 군수리 금동보살입상
1121103310000,금동미륵보살반가사유상(1963)
1121103320000,하남 하사창동 철조석가여래좌상
1121103330000,금동보살입상(1963-2)
